Team,Attack,Midfield,Defence,Overall
France,83,85,83,82
Germany,83,88,82,81
England,84,85,83,83
Portugal,84,85,82,84
Italy,83,83,84,82
Spain,84,82,84,85
Argentina,83,86,82,81
Belgium,82,86,80,79
Netherlands,82,83,81,82
Brazil,80,81,80,80
Croatia,80,79,83,78
Denmark,79,76,82,78
Poland,77,80,76,74
Morocco,80,74,78,77
Mexico,78,77,76,77
USA,76,76,76,75
Colombia,75,75,75,75
Peru,73,73,73,73
Senegal,76,75,75,75
Wales,74,76,74,73
Ghana,77,81,76,75
Canada,76,72,70,73
Australia,75,71,70,71
Qatar, 71,70,68,69
Iran,75,81,73,72
Saudi Arabia,72,72,72,72
Cameroon,73,73,73,73
Costa Rica,74,74,74,74
South Korea,78,78,78,78
Japan,79,79,79,79
Uruguay,76,76,76,76
Serbia,78,80,80,75
Switzerland,78,77,78,78
Ecuador,73,73,73,73
Chile,72,72,72,72
Tunisia,73,72,75,71
Czech Republic,76,79,76,73
Sweden,76,78,75,76
Ukraine,75,75,77,73
Scotland,75,73,75,77
Norway,78,76,74,75
Hungary,74,75,72,74
Republic of Ireland,71,68,71,73
Romania,70,74,69,72
Finland,68,69,67,66
Iceland,69,69,67,70
Northern Ireland,68,65,68,72
New Zealand,70,67,68,68
China PR,68,68,67,68
Austria,78,79,75,79
